!@1	Evil Eye of the Clawstorm
!@2	Evil Eye of the Landmass
!@3	Evil Eye of the Glowing Blob
!@4	Evil Eye of the Fairy Witch
!@5	Evil Eye of the Bane Hunter
!@6	Dogma of Suffering
!@7	Dogma of Pain
!@8	Dogma of Hatred
!@9	Dogma of Terror
!@A	Dogma of Destruction
!@B	Signet of Skill
!@c	Wisdom: -- Baal --
!0@	Kite Shield (Immortal)
!01	Naginata (1)
!02	Naginata (2)
!03	Naginata (3)
!04	Naginata (4)
!05	Naginata (5)
!06	Naginata (6)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!09	Raptor Scythe (2)
!1!	Warp Blade (3)
!1@	Balanced Knife (Immortal)
!10	Raptor Scythe (3)
!11	Raptor Scythe (4)
!12	Raptor Scythe (5)
!13	Raptor Scythe (6)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!16	Bonesplitter (2)
!17	Bonesplitter (3)
!18	Bonesplitter (4)
!19	Bonesplitter (5)
!2!	Warp Blade (4)
!2@	Crystal Sword (Immortal)
!20	Bonesplitter (6)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!23	Mammen Axe (2)
!24	Mammen Axe (3)
!25	Mammen Axe (4)
!26	Mammen Axe (5)
!27	Mammen Axe (6)
!28	Mammen Axe (Sacred)
!29	Hammerhead Axe (2)
!3!	Warp Blade (5)
!3@	Scissors Katar (Immortal)
!30	Hammerhead Axe (3)
!31	Hammerhead Axe (4)
!32	Hammerhead Axe (5)
!33	Hammerhead Axe (6)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!36	Ono (2)
!37	Ono (3)
!38	Ono (4)
!39	Ono (5)
!4!	Warp Blade (6)
!4@	War Scepter (Immortal)
!40	Ono (6)
!41	Ono (Sacred)
!42	Valaska (1)
!43	Valaska (2)
!44	Valaska (3)
!45	Valaska (4)
!46	Valaska (5)
!47	Valaska (6)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!5@	Yew Wand (Immortal)
!50	Labrys (2)
!51	Labrys (3)
!52	Labrys (4)
!53	Labrys (5)
!54	Labrys (6)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!57	Flamen Staff (2)
!58	Flamen Staff (3)
!59	Flamen Staff (4)
!6@	Long War Bow (Immortal)
!60	Flamen Staff (5)
!61	Flamen Staff (6)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!64	Marrow Staff (2)
!65	Marrow Staff (3)
!66	Marrow Staff (4)
!67	Marrow Staff (5)
!68	Marrow Staff (6)
!69	Marrow Staff (Sacred)
!7@	Throwing Axe (Immortal)
!70	Hexblade (1)
!71	Hexblade (2)
!72	Hexblade (3)
!73	Hexblade (4)
!74	Hexblade (5)
!75	Hexblade (6)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!78	Spirit Edge (2)
!79	Spirit Edge (3)
!8@	throwing Spear (Immortal)
!80	Spirit Edge (4)
!81	Spirit Edge (5)
!82	Spirit Edge (6)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!85	Holy Lance (2)
!86	Holy Lance (3)
!87	Holy Lance (4)
!88	Holy Lance (5)
!89	Holy Lance (6)
!9@	Bone Helm (Immortal)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!92	Tepoztopilli (2)
!93	Tepoztopilli (3)
!94	Tepoztopilli (4)
!95	Tepoztopilli (5)
!96	Tepoztopilli (6)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!99	Warp Blade (2)
!e@	Scythe (Immortal)
!q@	Light Plate (Immortal)
!r@	War Axe (Immortal)
!t@	Naginata (Immortal)
!w@	Thorn of Teror
!z@	Admin Charm
$$a	Dungeon Uberquest 1
&66	Mystic Orb - Kara's Trinket
&67	Mystic Orb - Monsterball
&68	Mystic Orb - Heart of Frost
&69	Mystic Orb - Relic of Yaerius
&70	Mystic Orb - The Endless Light
&71	Mystic Orb - Marksman's Eye
&72	Mystic Orb - Farnham's Lost Marble
&73	Mystic Orb - Zayl's Soul Orb
&74	Mystic Orb - Eye of Malic
&75	Mystic Orb - Apple of Discord
&76	Mystic Orb - Idol of Stars
&77	Mystic Orb - Nagapearl
&78	Mystic Orb - The Moon Crystal
&79	Mystic Orb - Auriel's Focus
&80	Mystic Orb - Solitude
&81	Mystic Orb - Larzuk's Round Shot
&82	Mystic Orb - Vizjun's Ball Bearing
&83	Mystic Orb - Nor Tiraj's Flaming Sphere
&84	Mystic Orb - The Demon Core
&85	Mystic Orb - Uldyssian's Spirit
@01	Quilted Armor (Sacred)
@02	Leather Armor (Sacred)
@03	Hard Leather Armor (Sacred)
@04	Studded Leather (Sacred)
@05	Ring Mail (Sacred)
@06	Scale Mail (Sacred)
@07	Chain Mail (Sacred)
@08	Breast Plate (Sacred)
@09	Splint Mail (Sacred)
@10	Plate Mail (Sacred)
@11	Field Plate (Sacred)
@12	Light Plate (Sacred)
@13	Gothic Plate (Sacred)
@14	Full Plate Mail (Sacred)
@15	Ancient Armor (Sacred)
@16	Cap (Sacred)
@17	Skull Cap (Sacred)
@18	Helm (Sacred)
@19	Full Helm (Sacred)
@20	Great Helm (Sacred)
@21	Crown (Sacred)
@22	Buckler (Sacred)
@23	Small Shield (Sacred)
@24	Large Shield (Sacred)
@25	Kite Shield (Sacred)
@26	Tower Shield (Sacred)
@27	Gothic Shield (Sacred)
@28	Sash (Sacred)
@29	Light Belt (Sacred)
@30	Belt (Sacred)
@31	Heavy Belt (Sacred)
@32	Plated Belt (Sacred)
@33	Leather Gloves (Sacred)
@34	Heavy Gloves (Sacred)
@35	Chain Gloves (Sacred)
@36	Light Gauntlets (Sacred)
@37	Gauntlets (Sacred)
@38	Boots (Sacred)
@39	Heavy Boots (Sacred)
@40	Chain Boots (Sacred)
@41	Light Plated Boots (Sacred)
@42	Greaves (Sacred)
@43	Bone Shield (Sacred)
@44	Spiked Shield (Sacred)
@45	Mask (Sacred)
@46	Bone Helm (Sacred)
@47	Wolf Head (Sacred)
@48	Hawk Helm (Sacred)
@49	Antlers (Sacred)
@50	Falcon Mask (Sacred)
@51	Spirit Mask (Sacred)
@52	Jawbone Cap (Sacred)
@53	Fanged Helm (Sacred)
@54	Horned Helm (Sacred)
@55	Assault Helmet (Sacred)
@56	Avenger Guard (Sacred)
@57	Targe (Sacred)
@58	Rondache (Sacred)
@59	Heraldic Shield (Sacred)
@60	Aerin Shield (Sacred)
@61	Crown Shield (Sacred)
@62	Preserved Head (Sacred)
@63	Zombie Head (Sacred)
@64	Unraveller Head (Sacred)
@65	Gargoyle Head (Sacred)
@66	Demon Head (Sacred)
@67	Circlet (Sacred)
@68	Coronet (Sacred)
@69	Tiara (Sacred)
@70	Diadem (Sacred)
µ01	Lord Aldric Jitan Trophy
µ02	Legacy of Blood Trophy
µ03	Judgement Day Trophy
µ04	Akarat Trophy
µ05	Kingdom of Shadow Trophy
µ06	Duncraig Trophy
µ07	Rathma Square Trophy
µ08	Cathedral of Vanity Trophy
µ09	Tran Athulua Trophy
µ10	Quov Tsin Trophy
µ11	Astrogha Trophy
µ12	Azmodan Trophy
µ13	MCS Trophy
µ14	Brother Laz Trophy
µ5µ	Elixir of Miraculous Experience
µ6µ	Scroll of Passage
0++	Mystic Orb
01-	Wisdom: -- Players X --
01!	Athulua's Hand (1)
01@	Short Sword (Sacred)
01+	+1 to Strength
02-	Wisdom: -- Defense Penalty --
02!	Athulua's Hand (2)
